id,timestamp,page,action,type,message,location
107,"2025-12-31T02:46:07.403Z","jobs","navigate","error","page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to ""http://localhost/jobs"", waiting until ""networkidle""[22m
",""
421,"2025-12-31T03:55:14.271Z","admin-tunes","navigate","error","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost/admin/tunes
Call log:
[2m  - navigating to ""http://localhost/admin/tunes"", waiting until ""networkidle""[22m
",""
422,"2025-12-31T03:55:14.528Z","admin-job-queue","navigate","error","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost/admin/job-queue
Call log:
[2m  - navigating to ""http://localhost/admin/job-queue"", waiting until ""networkidle""[22m
",""
423,"2025-12-31T03:55:14.589Z","admin-ocr-review","navigate","error","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost/admin/ocr-review
Call log:
[2m  - navigating to ""http://localhost/admin/ocr-review"", waiting until ""networkidle""[22m
",""
